Day	Event	Task	Points	Type	Slot
Friday	Tech Research	Research Speedup	10.0	Arms Race	1
Friday	Drone Boost	Use Stamina	100.0	Arms Race	2
Friday	Unit Progression	Training Speedup	10.0	Arms Race	3
Friday	Hero Advancement	Hero EXP	2.0	Arms Race	4
Friday	Base Building	Construction Speedup	10.0	Arms Race	5
Friday	Unit Progression	Training Speedup	10.0	Arms Race	6
Friday	Total Mobilization	Train T8 Unit	225.0	VS	0
Monday	Base Building	Base Building	Standard	Arms Race	1
Monday	Unit Progression	Unit Progression	Standard	Arms Race	2
Monday	Hero Development	Hero Development	Standard	Arms Race	3
Monday	Tech Research	Tech Research	Standard	Arms Race	4
Monday	Drone Boost	Drone Boost	Standard	Arms Race	5
Monday	Hero Development	Hero Development	Standard	Arms Race	6
Monday	Radar Training	Radar Task: Open Chip Chest	2475.0	VS	0
Saturday	Unit Progression	Training Speedup	10.0	Arms Race	1
Saturday	Tech Research	Research Speedup	10.0	Arms Race	2
Saturday	Base Building	Construction Speedup	10.0	Arms Race	3
Saturday	Drone Boost	Use Stamina	100.0	Arms Race	4
Saturday	Hero Advancement	Hero EXP	2.0	Arms Race	5
Saturday	Base Building	Construction Speedup	10.0	Arms Race	6
Saturday	Enemy Buster	Enemy Buster: Kill General T8 Unit (1)	30.0	VS	0
Sunday	Drone Boost	Drone Boost	Standard	Arms Race	1
Sunday	Hero Development	Hero Development	Standard	Arms Race	2
Sunday	Tech Research	Tech Research	Standard	Arms Race	3
Sunday	Base Building	Base Building	Standard	Arms Race	4
Sunday	Unit Progression	Unit Progression	Standard	Arms Race	5
Sunday	Tech Research	Tech Research	Standard	Arms Race	6
Sunday	Rest Day	No VS Rewards Today	0.0	VS	0
Thursday	Base Building	Base Building	Standard	Arms Race	1
Thursday	Unit Progression	Unit Progression	Standard	Arms Race	2
Thursday	Hero Development	Hero Development	Standard	Arms Race	3
Thursday	Tech Research	Tech Research	Standard	Arms Race	4
Thursday	Drone Boost	Drone Boost	Standard	Arms Race	5
Thursday	Hero Development	Hero Development	Standard	Arms Race	6
Thursday	Train Heroes	Hero: Use 1 Exclusive Weapon Shard	22000.0	VS	0
Tuesday	Unit Progression	Unit Progression	Standard	Arms Race	1
Tuesday	Tech Research	Tech Research	Standard	Arms Race	2
Tuesday	Base Building	Base Building	Standard	Arms Race	3
Tuesday	Drone Boost	Drone Boost	Standard	Arms Race	4
Tuesday	Hero Development	Hero Development	Standard	Arms Race	5
Tuesday	Base Building	Base Building	Standard	Arms Race	6
Tuesday	Base Expansion	Construction: Recruit Survivor (1)	3600.0	VS	0
Wednesday	Drone Boost	Drone Boost	Standard	Arms Race	1
Wednesday	Hero Development	Hero Development	Standard	Arms Race	2
Wednesday	Tech Research	Tech Research	Standard	Arms Race	3
Wednesday	Base Building	Base Building	Standard	Arms Race	4
Wednesday	Unit Progression	Unit Progression	Standard	Arms Race	5
Wednesday	Tech Research	Tech Research	Standard	Arms Race	6
Wednesday	Age of Science	Use Drone Component Chest	2420.0	VS	0
